(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000, 1.0000000000)
(-0.7138612000, 0.4929325000, -0.2188316000, 0.4466906000)
(-0.7138954000, 0.4929434000, -0.2189336000, 0.4465741000)
(-0.7138613000, 0.4929770000, -0.2188951000, 0.4466103000)
(-0.7138969000, 0.4928841000, -0.2188949000, 0.4466561000)
(-0.7139163000, 0.4929344000, -0.2187916000, 0.4466200000)
(-0.7138652000, 0.4929225000, -0.2187831000, 0.4467190000)
(-0.7138665000, 0.4929808000, -0.2188511000, 0.4466194000)
(-0.7138629000, 0.4929131000, -0.2188384000, 0.4467060000)
(-0.7138982000, 0.4929448000, -0.2187403000, 0.4466626000)
(-0.7138768000, 0.4929695000, -0.2187621000, 0.4466588000)
(-0.7138274000, 0.4929359000, -0.2189150000, 0.4467002000)
(-0.7139702000, 0.4928874000, -0.2188843000, 0.4465404000)
(-0.7139012000, 0.4929126000, -0.2188532000, 0.4466380000)
(-0.7139272000, 0.4928273000, -0.2189673000, 0.4466347000)
(-0.7139962000, 0.4928923000, -0.2188456000, 0.4465123000)
(-0.7139657000, 0.4928807000, -0.2188796000, 0.4465573000)
(-0.7139464000, 0.4928943000, -0.2188313000, 0.4465968000)
(-0.7138438000, 0.4929894000, -0.2188715000, 0.4466362000)
(-0.7139386000, 0.4928623000, -0.2189518000, 0.4465855000)
(-0.7139009000, 0.4929344000, -0.2188957000, 0.4465936000)
(-0.7139168000, 0.4929531000, -0.2188422000, 0.4465738000)
(-0.7138820000, 0.4929110000, -0.2189810000, 0.4466080000)
(-0.7139180000, 0.4929453000, -0.2188751000, 0.4465645000)
(-0.7139070000, 0.4929388000, -0.2188840000, 0.4465849000)
(-0.7138786000, 0.4928813000, -0.2188894000, 0.4466909000)
(-0.7138383000, 0.4929144000, -0.2189117000, 0.4467079000)
(-0.7138519000, 0.4929107000, -0.2188852000, 0.4467033000)
(-0.7138352000, 0.4929148000, -0.2188497000, 0.4467428000)
(-0.7138321000, 0.4928903000, -0.2189190000, 0.4467408000)
(-0.7139195000, 0.4928429000, -0.2188642000, 0.4466803000)
(-0.7138788000, 0.4929128000, -0.2189061000, 0.4466477000)
(-0.7138234000, 0.4929336000, -0.2189312000, 0.4467011000)
(-0.7138364000, 0.4929591000, -0.2189938000, 0.4466214000)
(-0.7138426000, 0.4928651000, -0.2188855000, 0.4467684000)
(-0.7138019000, 0.4929304000, -0.2188473000, 0.4467799000)
(-0.7138079000, 0.4929236000, -0.2188641000, 0.4467696000)
(-0.7138304000, 0.4928686000, -0.2188099000, 0.4468210000)
(-0.7138174000, 0.4928662000, -0.2187715000, 0.4468632000)
(-0.7137845000, 0.4929377000, -0.2187715000, 0.4468371000)
(-0.7137411000, 0.4930039000, -0.2187722000, 0.4468328000)
(-0.7137114000, 0.4930122000, -0.2188611000, 0.4468277000)
(-0.7136150000, 0.4931023000, -0.2187920000, 0.4469158000)
(-0.7135934000, 0.4931156000, -0.2188565000, 0.4469043000)
(-0.7136670000, 0.4930542000, -0.2188388000, 0.4468631000)
(-0.7136554000, 0.4931145000, -0.2188642000, 0.4468027000)
(-0.7135783000, 0.4931285000, -0.2189043000, 0.4468906000)
(-0.7136673000, 0.4929965000, -0.2188491000, 0.4469212000)
(-0.7135784000, 0.4931005000, -0.2189482000, 0.4468999000)
(-0.7136830000, 0.4931441000, -0.2187963000, 0.4467592000)
(-0.7136043000, 0.4930888000, -0.2188672000, 0.4469110000)
(-0.7136908000, 0.4930398000, -0.2188386000, 0.4468411000)
(-0.7135879000, 0.4931576000, -0.2189106000, 0.4468401000)
(-0.7137035000, 0.4930931000, -0.2189554000, 0.4467047000)
(-0.7136794000, 0.4931038000, -0.2187563000, 0.4468289000)
(-0.7136141000, 0.4930953000, -0.2189648000, 0.4468406000)
(-0.7136711000, 0.4930300000, -0.2189845000, 0.4468118000)
(-0.7136260000, 0.4931926000, -0.2189423000, 0.4467251000)
(-0.7136941000, 0.4931268000, -0.2187867000, 0.4467650000)
(-0.7136504000, 0.4931972000, -0.2188402000, 0.4467310000)
(-0.7137101000, 0.4931919000, -0.2188267000, 0.4466482000)
(-0.7136546000, 0.4931872000, -0.2189664000, 0.4466736000)
(-0.7136640000, 0.4931947000, -0.2189686000, 0.4466492000)
(-0.7136946000, 0.4932148000, -0.2188865000, 0.4466183000)
(-0.7136302000, 0.4932179000, -0.2190045000, 0.4466600000)
(-0.7136277000, 0.4932162000, -0.2189666000, 0.4466846000)
(-0.7136320000, 0.4932021000, -0.2189722000, 0.4466904000)
